duration,campaign,contact_unknown,poutcome_success,age,housing,contact_cellular,loan,pdays,poutcome_failure,default,education_primary,job_blue-collar,contact_telephone,previous,job_services,job_admin.,target
118.0,1.0,1.0,0.0,56.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
135.0,2.0,0.0,0.0,56.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
282.0,2.0,1.0,0.0,56.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
152.0,1.0,0.0,0.0,56.0,1.0,1.0,1.0,223.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
217.0,2.0,1.0,0.0,52.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
409.0,3.0,1.0,0.0,55.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
470.0,4.0,1.0,0.0,52.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
182.0,2.0,1.0,0.0,55.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
41.0,1.0,0.0,0.0,57.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
129.0,2.0,0.0,0.0,78.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
100.0,4.0,1.0,0.0,59.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
360.0,1.0,1.0,0.0,60.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
102.0,2.0,1.0,0.0,51.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
591.0,1.0,1.0,0.0,53.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
89.0,3.0,0.0,0.0,56.0,1.0,1.0,1.0,341.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
220.0,7.0,0.0,0.0,58.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
88.0,2.0,0.0,0.0,58.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
442.0,2.0,0.0,0.0,56.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
454.0,1.0,0.0,0.0,52.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
379.0,1.0,0.0,0.0,59.0,0.0,1.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
35.0,1.0,0.0,0.0,52.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
1130.0,2.0,0.0,0.0,53.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
55.0,16.0,0.0,0.0,58.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0
56.0,2.0,0.0,0.0,62.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
57.0,3.0,0.0,0.0,59.0,0.0,1.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
93.0,1.0,1.0,0.0,51.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
81.0,1.0,0.0,0.0,52.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
666.0,3.0,0.0,0.0,51.0,1.0,1.0,0.0,274.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0
41.0,3.0,1.0,0.0,55.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
