age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y
58,management,married,tertiary,no,2143,yes,no,unknown,261,1,-1,0,unknown,no
58,retired,married,primary,no,121,yes,no,unknown,50,1,-1,0,unknown,no
53,technician,married,secondary,no,6,yes,no,unknown,517,1,-1,0,unknown,no
58,technician,married,unknown,no,71,yes,no,unknown,71,1,-1,0,unknown,no
57,services,married,secondary,no,162,yes,no,unknown,174,1,-1,0,unknown,no
51,retired,married,primary,no,229,yes,no,unknown,353,1,-1,0,unknown,no
57,blue-collar,married,primary,no,52,yes,no,unknown,38,1,-1,0,unknown,no
60,retired,married,primary,no,60,yes,no,unknown,219,1,-1,0,unknown,no
56,management,married,tertiary,no,779,yes,no,unknown,164,1,-1,0,unknown,no
52,entrepreneur,married,secondary,no,113,yes,yes,unknown,127,1,-1,0,unknown,no
57,technician,married,secondary,no,839,no,yes,unknown,225,1,-1,0,unknown,no
60,admin.,married,secondary,no,39,yes,yes,unknown,208,1,-1,0,unknown,no
59,blue-collar,married,secondary,no,0,yes,no,unknown,226,1,-1,0,unknown,no
51,management,married,tertiary,no,10635,yes,no,unknown,336,1,-1,0,unknown,no
57,technician,divorced,secondary,no,63,yes,no,unknown,242,1,-1,0,unknown,no
53,technician,married,secondary,no,-3,no,no,unknown,1666,1,-1,0,unknown,no
60,blue-collar,married,unknown,no,104,yes,no,unknown,22,1,-1,0,unknown,no
54,retired,married,secondary,no,529,yes,no,unknown,1492,1,-1,0,unknown,no
58,retired,married,unknown,no,96,yes,no,unknown,616,1,-1,0,unknown,no
58,self-employed,married,tertiary,no,-364,yes,no,unknown,355,1,-1,0,unknown,no
55,technician,divorced,secondary,no,0,no,no,unknown,160,1,-1,0,unknown,no
54,blue-collar,married,secondary,no,1291,yes,no,unknown,266,1,-1,0,unknown,no
53,technician,divorced,secondary,no,989,yes,no,unknown,812,1,-1,0,unknown,no
57,blue-collar,married,primary,no,249,yes,no,unknown,164,1,-1,0,unknown,no
51,management,married,tertiary,no,6530,yes,no,unknown,91,1,-1,0,unknown,no
60,retired,married,tertiary,no,100,no,no,unknown,528,1,-1,0,unknown,no
59,management,divorced,tertiary,no,59,yes,no,unknown,273,1,-1,0,unknown,no
55,technician,married,secondary,no,1205,yes,no,unknown,158,2,-1,0,unknown,no
57,blue-collar,married,secondary,no,5935,yes,yes,unknown,258,1,-1,0,unknown,no
54,management,married,secondary,no,282,yes,yes,unknown,154,1,-1,0,unknown,no
55,blue-collar,married,primary,no,23,yes,no,unknown,291,1,-1,0,unknown,no
53,technician,married,secondary,no,384,yes,no,unknown,176,1,-1,0,unknown,no
55,services,divorced,secondary,no,91,no,no,unknown,349,1,-1,0,unknown,no
55,services,divorced,secondary,yes,1,yes,no,unknown,208,1,-1,0,unknown,no
59,admin.,married,secondary,no,2343,yes,no,unknown,1042,1,-1,0,unknown,yes
51,blue-collar,married,primary,no,173,yes,no,unknown,529,2,-1,0,unknown,no
56,admin.,married,secondary,no,45,no,no,unknown,1467,1,-1,0,unknown,yes
57,retired,married,secondary,no,486,yes,no,unknown,180,2,-1,0,unknown,no
60,admin.,married,secondary,no,290,yes,no,unknown,583,1,-1,0,unknown,no
60,blue-collar,married,unknown,no,54,yes,no,unknown,221,1,-1,0,unknown,no
57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,173,1,-1,0,unknown,no
55,blue-collar,married,secondary,no,383,no,no,unknown,287,1,-1,0,unknown,no
60,retired,married,tertiary,no,81,yes,no,unknown,101,1,-1,0,unknown,no
53,blue-collar,married,primary,no,90,no,no,unknown,124,1,-1,0,unknown,no
52,blue-collar,married,primary,no,128,yes,no,unknown,229,1,-1,0,unknown,no
59,blue-collar,married,primary,no,179,yes,no,unknown,55,3,-1,0,unknown,no
59,retired,single,secondary,no,30,yes,no,unknown,514,1,-1,0,unknown,no
56,self-employed,married,primary,no,-34,yes,yes,unknown,212,2,-1,0,unknown,no
59,retired,divorced,primary,no,81,yes,no,unknown,107,1,-1,0,unknown,no
59,management,divorced,tertiary,no,262,no,no,unknown,178,1,-1,0,unknown,no
