age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y
28,management,single,tertiary,no,447,yes,yes,unknown,217,1,-1,0,unknown,no
29,admin.,single,secondary,no,390,yes,no,unknown,137,1,-1,0,unknown,no
28,blue-collar,married,secondary,no,723,yes,yes,unknown,262,1,-1,0,unknown,no
25,services,married,secondary,no,50,yes,no,unknown,342,1,-1,0,unknown,no
25,blue-collar,married,secondary,no,-7,yes,no,unknown,365,1,-1,0,unknown,no
29,management,single,tertiary,no,0,yes,no,unknown,363,1,-1,0,unknown,no
24,technician,single,secondary,no,-103,yes,yes,unknown,145,1,-1,0,unknown,no
30,technician,married,secondary,no,152,yes,yes,unknown,213,2,-1,0,unknown,no
27,technician,single,tertiary,no,0,yes,no,unknown,400,1,-1,0,unknown,no
29,services,divorced,secondary,no,31,yes,no,unknown,194,1,-1,0,unknown,no
29,admin.,single,secondary,no,818,yes,yes,unknown,61,1,-1,0,unknown,no
28,unemployed,single,tertiary,no,0,yes,no,unknown,125,2,-1,0,unknown,no
23,blue-collar,married,secondary,no,94,yes,no,unknown,193,1,-1,0,unknown,no
26,student,single,secondary,no,0,yes,no,unknown,610,2,-1,0,unknown,no
26,admin.,single,secondary,no,82,yes,no,unknown,228,1,-1,0,unknown,no
28,blue-collar,married,primary,no,324,yes,no,unknown,175,1,-1,0,unknown,no
22,blue-collar,single,secondary,no,0,yes,no,unknown,179,2,-1,0,unknown,no
30,technician,single,secondary,no,2573,yes,no,unknown,67,2,-1,0,unknown,no
30,student,single,tertiary,no,25,yes,no,unknown,89,2,-1,0,unknown,no
30,blue-collar,single,secondary,no,0,yes,no,unknown,5,2,-1,0,unknown,no
24,student,single,secondary,no,423,yes,no,unknown,226,3,-1,0,unknown,no
24,student,single,secondary,no,82,yes,no,unknown,204,2,-1,0,unknown,no
30,blue-collar,single,secondary,no,-457,yes,no,unknown,143,2,-1,0,unknown,no
27,services,married,secondary,no,8,yes,no,unknown,88,3,-1,0,unknown,no
23,student,single,secondary,no,157,yes,no,unknown,54,1,-1,0,unknown,no
25,admin.,single,secondary,no,122,yes,no,unknown,286,1,-1,0,unknown,no
27,admin.,married,secondary,no,4,yes,no,unknown,243,1,-1,0,unknown,no
29,self-employed,single,tertiary,no,16,yes,no,unknown,43,1,-1,0,unknown,no
24,self-employed,single,secondary,no,0,yes,no,unknown,278,1,-1,0,unknown,no
30,services,single,secondary,no,209,yes,no,unknown,30,2,-1,0,unknown,no
29,blue-collar,married,secondary,no,1,yes,no,unknown,215,1,-1,0,unknown,no
30,blue-collar,divorced,secondary,no,-209,yes,no,unknown,188,2,-1,0,unknown,no
29,blue-collar,married,secondary,no,9,yes,no,unknown,349,1,-1,0,unknown,no
26,admin.,single,secondary,no,712,yes,no,unknown,232,1,-1,0,unknown,no
29,management,single,tertiary,no,0,yes,no,unknown,211,1,-1,0,unknown,no
30,admin.,divorced,secondary,no,83,yes,yes,unknown,310,1,-1,0,unknown,no
30,admin.,married,secondary,no,46,yes,no,unknown,114,2,-1,0,unknown,no
30,student,single,tertiary,no,34,yes,no,unknown,289,1,-1,0,unknown,no
28,services,single,secondary,no,5090,yes,no,unknown,1297,3,-1,0,unknown,yes
30,technician,single,secondary,no,0,yes,no,unknown,369,1,-1,0,unknown,no
28,services,divorced,secondary,no,89,no,no,unknown,174,2,-1,0,unknown,no
30,blue-collar,married,secondary,no,450,no,no,unknown,526,2,-1,0,unknown,no
29,technician,single,tertiary,no,405,yes,no,unknown,65,1,-1,0,unknown,no
30,technician,married,secondary,no,484,yes,no,unknown,703,1,-1,0,unknown,yes
30,unemployed,divorced,secondary,no,1144,yes,no,unknown,252,1,-1,0,unknown,no
29,student,single,secondary,no,209,yes,no,unknown,311,2,-1,0,unknown,no
28,technician,single,secondary,no,312,yes,no,unknown,392,1,-1,0,unknown,no
29,admin.,married,secondary,no,-150,yes,no,unknown,328,1,-1,0,unknown,no
29,blue-collar,married,secondary,no,43,yes,no,unknown,268,2,-1,0,unknown,no
29,admin.,married,secondary,no,182,yes,yes,unknown,477,1,-1,0,unknown,no
29,student,single,secondary,no,948,yes,no,unknown,75,2,-1,0,unknown,no
30,technician,single,unknown,no,-48,yes,no,unknown,152,2,-1,0,unknown,no
24,services,single,secondary,no,77,yes,yes,unknown,390,2,-1,0,unknown,no
28,admin.,single,secondary,no,251,yes,no,unknown,178,2,-1,0,unknown,no
30,management,married,tertiary,no,32,yes,no,unknown,122,3,-1,0,unknown,no
30,admin.,single,secondary,no,115,yes,no,unknown,66,3,-1,0,unknown,no
30,self-employed,single,tertiary,no,800,no,no,unknown,95,2,-1,0,unknown,no
29,student,single,secondary,no,110,yes,no,unknown,169,3,-1,0,unknown,no
30,admin.,married,secondary,no,4,no,no,unknown,172,8,-1,0,unknown,no
29,student,single,tertiary,no,185,yes,no,unknown,141,3,-1,0,unknown,no
30,blue-collar,divorced,secondary,no,251,yes,yes,unknown,120,2,-1,0,unknown,no
29,technician,married,secondary,no,8,no,no,unknown,113,1,-1,0,unknown,no
29,technician,single,tertiary,no,0,yes,no,unknown,104,2,-1,0,unknown,no
30,technician,single,tertiary,no,3,yes,no,unknown,174,1,-1,0,unknown,no
30,services,single,secondary,no,-174,yes,no,unknown,113,1,-1,0,unknown,no
29,technician,single,tertiary,no,3,yes,no,unknown,359,1,-1,0,unknown,no
26,blue-collar,single,secondary,no,24,yes,no,unknown,180,1,-1,0,unknown,no
29,unemployed,married,tertiary,no,8,yes,no,unknown,233,1,-1,0,unknown,no
29,student,single,secondary,no,872,yes,no,unknown,230,1,-1,0,unknown,no
29,entrepreneur,married,primary,no,56,yes,yes,unknown,336,1,-1,0,unknown,no
27,services,single,secondary,no,0,yes,no,unknown,388,7,-1,0,unknown,no
28,blue-collar,single,secondary,no,97,yes,no,unknown,67,1,-1,0,unknown,no
30,services,single,tertiary,no,542,yes,no,unknown,435,2,-1,0,unknown,no
30,management,single,tertiary,no,112,yes,no,unknown,245,1,-1,0,unknown,no
27,management,single,tertiary,no,134,yes,yes,unknown,68,3,-1,0,unknown,no
26,services,married,secondary,no,0,yes,no,unknown,180,2,-1,0,unknown,no
29,management,married,secondary,no,147,yes,yes,unknown,376,2,-1,0,unknown,no
28,blue-collar,married,secondary,no,225,yes,yes,unknown,866,2,-1,0,unknown,no
